name	subsystem	count	max_count	min_count	avg_count
innodb_dblwr_writes	server	524619	524619	NULL	10.612943032853213
innodb_dblwr_pages_written	server	3740129	3740129	NULL	75.66210147273021
innodb_rwlock_s_spin_waits	server	1814229	1814229	NULL	36.70150914387441
innodb_rwlock_x_spin_waits	server	65952	65952	NULL	1.3341964719210229
innodb_rwlock_s_spin_rounds	server	75611139	75611139	NULL	1529.5990249231268
innodb_rwlock_x_spin_rounds	server	7574475	7574475	NULL	153.23019501537465
innodb_rwlock_s_os_waits	server	2331343	2331343	NULL	47.16262744780709
innodb_rwlock_x_os_waits	server	236619	236619	NULL	4.786757565949182
dml_reads	dml	5708557	5708557	NULL	115.4830271888655
dml_inserts	dml	668490	668490	NULL	13.52342612073151
dml_deletes	dml	51347	51347	NULL	1.038740087392782
dml_updates	dml	1336310	1336310	NULL	27.03329826832821
lock_row_lock_current_waits	lock	0	5	NULL	0
lock_row_lock_time	lock	3698465	3698465	NULL	74.80411391124954
lock_row_lock_waits	lock	1120	1120	NULL	0.02265280530722867
buffer_pool_reads	buffer	17808257	17808257	NULL	360.1848023947251
buffer_pool_read_requests	buffer	63378662	63378662	NULL	1281.8790097487965
buffer_pool_write_requests	buffer	10458901	10458901	NULL	211.53879292908863
buffer_pool_wait_free	buffer	489000	489000	NULL	9.890376602888233
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3587	3587	NULL	0.07254965414020469
buffer_pages_created	buffer	21137	21137	NULL	0.4275110230168683
buffer_pages_written	buffer	3745045	3745045	NULL	75.74622790340197
buffer_pages_read	buffer	18308719	18308719	NULL	370.30700618907
buffer_data_reads	buffer	299972038656	299972038656	NULL	6067150.169006108
buffer_data_written	buffer	123486539776	123486539776	NULL	2497604.056793819
os_data_reads	os	18273645	18273645	NULL	369.5976093200113
os_data_writes	os	4232224	4232224	NULL	85.59977347194693
os_data_fsyncs	os	955190	955190	NULL	19.319404554831923
os_log_bytes_written	os	769325056	769325056	NULL	15560.152421018567
os_log_fsyncs	os	140200	140200	NULL	2.8356458072084463
os_log_pending_fsyncs	os	1	1	0	0.000020225719024311313
os_log_pending_writes	os	0	1	0	0
log_waits	recovery	0	0	NULL	0
log_write_requests	recovery	1909936	1909936	NULL	38.62982889041705
log_writes	recovery	139204	139204	NULL	2.815500991060232
adaptive_hash_searches	adaptive_hash_index	70160	70160	NULL	1.4190364467456817
ibuf_merges_insert	change_buffer	603908	603908	NULL	12.214473524533798
ibuf_merges_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_delete	change_buffer	0	0	NULL	0
ibuf_merges_discard_insert	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete	change_buffer	0	0	NULL	0
ibuf_merges	change_buffer	524940	524940	NULL	10.617288944621981
ibuf_size	change_buffer	50	269	NULL	0.0010112859512155657
innodb_activity_count	server	6171849	6171849	NULL	124.83008373447676
innodb_dblwr_writes	server	525191	525191	NULL	10.622365600097083
innodb_dblwr_pages_written	server	3745054	3745054	NULL	75.74640993487318
innodb_rwlock_s_spin_waits	server	1817192	1817192	NULL	36.754014805226326
innodb_rwlock_x_spin_waits	server	66143	66143	NULL	1.3377897334250233
innodb_rwlock_s_spin_rounds	server	75807757	75807757	NULL	1533.2663929452692
innodb_rwlock_x_spin_rounds	server	7590070	7590070	NULL	153.51462319485458
innodb_rwlock_s_os_waits	server	2337646	2337646	NULL	47.280571174305244
innodb_rwlock_x_os_waits	server	237095	237095	NULL	4.795416852069091
dml_reads	dml	5719053	5719053	NULL	115.6719590631447
dml_inserts	dml	669734	669734	NULL	13.545851705028113
dml_deletes	dml	51435	51435	NULL	1.0403098580154524
dml_updates	dml	1338686	1338686	NULL	27.075886897779217
lock_row_lock_current_waits	lock	1	5	NULL	0.000020221629054436625
lock_row_lock_time	lock	3710668	3710668	NULL	75.03575184016825
lock_row_lock_waits	lock	1124	1124	NULL	0.022729111057186765
buffer_pool_reads	buffer	17840068	17840068	NULL	360.7552374019251
buffer_pool_read_requests	buffer	63485064	63485064	NULL	1283.7714147051686
buffer_pool_write_requests	buffer	10475038	10475038	NULL	211.82233276712773
buffer_pool_wait_free	buffer	489621	489621	NULL	9.900934239262314
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3593	3593	NULL	0.07265631319259079
buffer_pages_created	buffer	21177	21177	NULL	0.4282334384858044
buffer_pages_written	buffer	3749498	3749498	NULL	75.82095769635202
buffer_pages_read	buffer	18340645	18340645	NULL	370.8777198091078
buffer_data_reads	buffer	300495261696	300495261696	NULL	6076503.7146323705
buffer_data_written	buffer	123635104768	123635104768	NULL	2500103.226724905
os_data_reads	os	18305570	18305570	NULL	370.16844617002346
os_data_writes	os	4237335	4237335	NULL	85.68581654938122
